,가스,게이지,교체,내용,당시,동시,머리,바닥,반응,밸브,번지,부위,비산,사원,산소,상처,상태,상해,소재,시험,실험,실험실,안전,압_,압력,에어,연결,용기,용접부,유리,장내,장소,장치,점검,주변,주입,진행,충격,테스트,투입,파손,파열,파편,폭_,폭발,플라스크,플라스틱,화학,회사
소재,2,1,1,0,0,0,0,0,0,2,3,0,1,0,1,0,1,1,6,2,0,0,0,0,5,3,1,10,0,0,0,1,4,1,0,0,1,1,1,0,1,1,2,1,2,0,0,0,0
시험,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,9,0,1,0,0,2,0,0,2,0,5,0,2,0,0,0,0,2,2,0,0,1,0,7,0,5,1,0,0,0
실험,0,0,0,3,4,0,1,1,12,3,0,0,0,0,0,0,0,0,0,0,11,1,3,1,12,0,0,1,0,4,0,0,0,0,3,0,3,2,0,0,1,1,4,0,6,3,0,0,0
실험실,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,5,0,1,1,0,0,1,0,4,1,0,0,0,0,0,2,0,1,0,2,2,4,0,1,1,0,0,0
안전,6,0,2,3,1,2,0,0,4,1,0,0,0,0,0,0,2,0,0,0,3,0,6,0,10,0,0,0,0,1,0,2,0,2,3,0,1,0,0,2,1,0,1,0,2,1,0,0,0
압_,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,5,1,0,2,2,0,0,0,1,0,0,0,1,0,2,0,2,1,0,0,1,0,0,0,0
압력,5,3,5,4,6,2,5,4,13,8,4,2,1,2,12,1,1,2,5,2,12,1,10,5,92,6,2,24,9,9,2,4,5,6,4,1,5,8,9,10,17,2,8,1,15,3,2,0,2
에어,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,6,10,0,12,0,0,2,0,1,0,0,0,1,0,4,0,2,0,0,1,1,0,0,0,0
연결,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
용기,12,2,4,1,4,2,7,6,9,8,1,6,1,2,17,3,5,6,10,2,1,1,0,2,24,12,2,119,6,4,2,1,5,0,3,2,5,13,0,4,13,13,10,3,26,9,10,13,5
용접부,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,6,7,0,0,0,1,1,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0
유리,1,0,0,1,4,0,6,1,5,1,0,0,1,1,0,3,0,1,0,5,4,4,1,0,9,0,0,4,0,14,0,2,0,0,2,0,3,2,1,0,2,3,12,2,5,5,0,1,0
장내,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,3,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
장소,5,2,4,1,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,2,0,0,2,0,4,0,1,1,0,2,0,4,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0
장치,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,4,0,0,0,0,1,5,1,2,5,1,0,0,0,10,2,0,1,1,0,4,0,0,3,0,0,1,0,0,0,0
점검,3,0,1,1,0,1,0,0,0,1,1,0,0,0,3,0,1,0,1,0,0,0,2,0,6,0,0,0,1,0,0,1,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
주변,4,0,1,2,1,1,0,0,5,1,0,0,0,0,0,1,1,1,0,0,3,0,3,0,4,0,0,3,0,2,0,1,0,1,3,0,2,0,0,0,0,2,3,0,2,4,0,1,0
주입,2,0,0,1,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
진행,1,0,0,1,1,0,0,0,5,1,1,1,1,0,0,1,0,1,1,2,3,2,1,1,5,1,0,5,0,3,1,0,1,0,2,0,6,1,3,0,1,3,6,0,4,4,0,1,0
충격,0,0,1,0,3,1,4,3,0,1,1,0,1,0,5,0,1,1,1,2,2,0,0,0,8,0,0,13,0,2,0,0,0,0,0,0,1,9,0,0,2,1,4,0,5,0,2,0,2
테스트,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,9,4,0,0,0,1,1,0,4,1,0,0,3,0,9,0,0,1,1,0,3,0,0,0,1
투입,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,4,0
파손,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,2,17,2,0,13,4,2,1,0,0,0,0,0,1,2,0,2,10,0,3,0,2,1,0,0,0
파열,4,1,0,1,0,1,2,1,2,0,0,0,0,0,2,2,1,2,1,0,1,2,0,1,2,0,1,13,2,3,1,0,3,0,2,2,3,1,1,0,0,11,4,0,2,6,0,2,0
파편,2,0,0,1,4,0,6,1,6,1,2,0,3,1,0,5,0,2,2,7,4,4,1,0,8,0,0,10,0,12,1,1,0,0,3,0,6,4,1,0,3,4,19,2,7,8,0,2,1
폭_,1,0,0,0,0,0,2,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
폭발,3,2,4,2,3,2,0,1,12,5,2,4,2,3,9,1,1,1,2,5,6,1,2,1,15,1,2,26,0,5,0,3,1,0,2,0,4,5,3,2,2,2,7,0,28,3,4,5,2
플라스크,3,0,0,1,1,0,0,0,7,1,0,0,1,0,0,3,0,3,0,1,3,1,1,0,3,0,0,9,0,5,0,0,0,0,4,0,4,0,0,0,1,6,8,0,3,11,0,3,0
플라스틱,0,0,0,0,0,0,4,2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,10,2,2
화학,1,0,0,0,0,0,0,3,6,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,1,0,0,4,0,2,2,0,5,3,2,12,0
회사,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,2,0,3
