,가스,건조,경기도,그라인더,근무,기계,대피,바닥,발화,번_,베스티,부산,부위,불길,불꽃,불명,사람,상부,서울,선_,설치,성심,소리,소재,앞_,연기,옷_,울산,이후,장내,장식,조선,진압,차량,처리,치료,통원,통증,페인트,포기,회사,후송,흡입
소리,0,0,1,0,0,0,4,1,2,0,0,0,0,2,1,0,3,0,0,0,1,1,3,1,1,4,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0
소재,0,0,1,0,1,1,2,0,2,0,2,2,0,1,1,0,0,0,1,0,0,0,1,5,0,1,0,0,1,2,0,0,3,2,1,8,2,1,0,0,2,1,0
앞_,1,0,1,0,0,0,4,1,0,1,1,0,0,1,0,0,2,0,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
연기,4,0,1,0,1,0,12,2,3,0,1,2,0,2,1,2,5,0,0,0,1,2,4,1,1,13,0,0,1,3,2,0,2,0,1,6,0,2,0,2,1,3,3
옷_,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,1,1,5,0,0,1,0,0,4,0
울산,2,0,0,3,2,2,3,0,0,0,0,3,0,0,2,2,1,1,0,0,1,0,0,0,0,0,1,8,0,0,2,0,1,0,1,1,0,0,0,4,0,6,2
이후,0,1,2,0,0,0,1,0,3,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,3,1,0,0,2,0,1,3,0,1,0,0,1,2,0
장내,2,0,1,0,0,0,8,1,2,0,1,3,0,1,1,0,0,0,0,0,0,0,1,2,0,3,0,0,1,4,0,0,2,0,2,3,0,1,0,0,0,2,1
장식,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,2,0,0,0,4,0,1,1
조선,1,0,0,0,0,0,3,0,2,4,1,0,0,1,4,0,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5,2,0,1,0,0,0,0
진압,0,0,2,0,1,2,2,0,4,0,1,2,0,2,3,0,0,1,0,0,0,0,2,3,0,2,0,1,2,2,0,0,6,1,0,6,1,2,0,0,1,1,0
차량,0,0,0,0,1,1,1,0,1,0,3,1,1,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,2,1,5,0,8,3,0,0,0,2,2,0
처리,0,1,1,2,0,0,2,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,2,0,0,0,0,4,3,0,0,0,0,0,4,1
치료,5,3,2,4,3,4,5,2,6,1,11,7,2,1,8,2,1,3,11,3,1,6,1,8,1,6,5,1,3,3,2,5,6,8,3,56,9,3,5,2,7,14,3
통원,0,0,0,0,1,1,0,0,1,0,2,1,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,3,0,9,4,0,0,0,2,1,0
통증,2,0,1,0,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,2,0,0,3,0,3,0,0,0,2,1
페인트,0,1,0,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,3,0,0,2,0
포기,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,0,0,0,0,2,0,0,0,6,0,2,2
회사,0,0,0,0,1,1,1,0,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,1,2,0,7,2,0,0,0,5,2,1
후송,6,3,1,9,1,2,9,3,1,0,5,6,2,0,4,1,2,1,3,0,0,3,0,1,1,3,4,6,2,2,1,0,1,2,4,14,1,2,2,2,2,20,3
흡입,3,0,0,0,1,0,4,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,1,0,0,0,1,3,0,1,0,2,1,3,4
